,importance,stddev,p_value,n,p99_high,p99_low
MINaaaC,0.0010747834759405883,0.0002781883522775091,0.010805048131672502,3,0.002668833583830535,-0.0005192666319493581
Xc-5d,0.0010595289198465085,0.0004989031221513547,0.03330381952357114,3,0.003918299134994349,-0.0017992412953013316
ATS7dv,0.0010540940491452118,0.0004976159827784877,0.03345796149581984,3,0.003905488812950858,-0.0017973007146604343
ATS0i,0.0010274629072825059,0.0008343587693174253,0.08327902894588093,3,0.005808431180614822,-0.00375350536604981
nG12ARing,0.001027311907876897,0.00014672499696837126,0.0033655044077540966,3,0.0018680624113856434,0.00018656140436815074
GATS3p,0.0010267663072193178,0.0006318581915791699,0.05322707761349473,3,0.004647383814070099,-0.002593851199631464
VSA_EState3,0.0010172059516854552,0.0005924427078474913,0.048456708382903356,3,0.0044119683658243045,-0.0023775564624533936
ETA_dEpsilon_A,0.0010094109638727478,0.0002694449307605737,0.011468519188610455,3,0.0025533602968801613,-0.0005345383691346657
Xp-3dv,0.0010003888191928805,0.0007493790625957309,0.0734571421895836,3,0.00529441394929452,-0.0032936363109087588
ATSC3pe,0.0009863441965773934,0.0008736945182898321,0.0948571717743887,3,0.005992710673608931,-0.004020022280454144
NdsCH,0.0009837230849308876,0.0004159100958000744,0.02736896004476775,3,0.003366934055680891,-0.001399487885819116
GATS1se,0.0009816420294221917,0.0015268339466167266,0.1906748677334883,3,0.009730569859824375,-0.007767285800979991
AATSC7v,0.000970564111664148,0.0008258028026111032,0.08936701865690312,3,0.005702505746966305,-0.003761377523638009
Diameter,0.0009634330090402635,0.0010513700161657274,0.12669101754208703,3,0.006987899791996684,-0.005061033773916156
TIC5,0.0009614309090598313,0.000666698179821778,0.06490079433902411,3,0.0047816854120764805,-0.0028588235939568177
VMcGowan,0.0009610126539296345,0.0008310287780609586,0.09155016868937446,3,0.005722899708087295,-0.0038008744002280257
ATS1i,0.000960403558596464,0.0005273087353203219,0.04374889252631535,3,0.003981941087206454,-0.0020611339700135262
